"","team_name","PlayerName","PA","OPS","wRC_plus","xwOBA","WAR","WPA","WPA_LI","Clutch","highlight"
"96","HOU","Mauricio Dubón",207,0.6964,92.6633,0.273,1.7482,-0.3652,-0.8722,0.5183,"Other"
"97","SFG","Patrick Bailey",243,0.5643,60.5481,0.271,1.7021,0.0169,-1.0091,1.0236,"Other"
"98","LAD","Mookie Betts",382,0.7094,99.0129,0.33,1.6769,-0.0943,0.3536,-0.4455,"Other"
"99","TEX","Marcus Semien",392,0.6778,92.1809,0.332,1.6608,0.2301,-0.5191,0.7496,"Other"
"100","PIT","Oneil Cruz",355,0.728,99.6862,0.364,1.6361,0.4041,0.4429,-0.0713,"Other"
"101","STL","Victor Scott II",315,0.642,86.4585,0.287,1.6107,-0.1087,-0.9259,0.8063,"Other"
"102","LAA","Taylor Ward",398,0.7759,110.5372,0.333,1.5702,-0.1787,0.6623,-0.8214,"Other"
"103","STL","Iván Herrera",171,0.9251,160.6323,0.379,1.5648,2.3919,1.2825,1.0011,"Other"
"104","SFG","Jung Hoo Lee",377,0.7198,103.2403,0.322,1.5604,0.1286,0.2294,-0.1053,"Other"
"105","DET","Javier Báez",280,0.7487,108.5536,0.297,1.5311,0.7711,0.3074,0.5683,"Other"
